AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,parkmain,pimg,pu,punit,r,reid,s,sq,t,town,tp,tunit,type,unit,v
,丙種建築用地,汐止區勤進路０８３巷０００３號６樓之４３#汐止區勤進路８３巷３號６樓之４３,華廈(10層含以下有電梯),世運村,87.82%,F,UiaI+pCw4x0rQDbRX9JiZRvQss5zmvokDklTVTp7Ke8=,,114/01/10,有,,六層/七層,,42,139,1,1,0,25.059016142833883,121.66248284860339,有,,總價/總面積,,"367,974",N,bt_06.png,住家用,1,71,,10.06,UiaI+pCw4x0rQDbRX9JiZRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,700,000",1,Biz,2,1房1廳1衛
商,,汐止區中正路００３６號九樓之１#汐止區中正路３６號九樓之１,住宅大樓(11層含以上有電梯),春田吉市,57.89%,F,jb3eYPLkBT+w0OkkniaxAhvQss5zmvokDklTVTp7Ke8=,,114/01/16,有,,九層/十九層,,7,140,1,1,0,25.070545983067138,121.66221776047455,有,,總價/總面積,,"624,638",N,bt_05.png,住家用,1,36,,24.97,jb3eYPLkBT+w0OkkniaxAhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,600,000",1,Biz,2,2房1廳1衛
其他,,汐止區康寧街７５１巷００１３號８樓之３#汐止區康寧街７５１巷１３號８樓之３,住宅大樓(11層含以上有電梯),日月光,87.36%,F,1HTckdiXO0lezWVih+vz8xvQss5zmvokDklTVTp7Ke8=,,114/01/15,有,,八層/二十三層,,28,141,2,1,1,25.07490595890003,121.63758886411597,有,,總價/總面積,陽台外推;其他增建;,"295,835",N,bt_05.png,住家用,1,161,,49.01,1HTckdiXO0lezWVih+vz8xvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"14,500,000",1,Biz,2,2房2廳2衛
商,,汐止區和平街１０６巷０００５號４樓#汐止區和平街１０６巷５號４樓,公寓(5樓含以下無電梯),,85.97%,F,,,114/01/08,無,,四層/五層,,39,142,3,1,0,25.07033580996581,121.66075955160913,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,"166,909",N,bt_01.png,住家用,1,30,,24.38,e8Lu6SNDGlUmi5wZHamqkhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,070,000",1,Biz,2,3房2廳2衛
,乙種建築用地,汐止區宜興街０２０巷０００９號#汐止區宜興街２０巷９號,公寓(5樓含以下無電梯),,100.00%,F,,,114/01/25,無,,一層/四層,,51,143,2,1,0,25.04127096605482,121.62193573532629,無,,總價/總面積,,"426,982",N,bt_01.png,住家用,1,11,,31.62,YrsoyDXrktAiG2UIMQHNBhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,500,000",1,Biz,2,3房2廳1衛
住,,汐止區橫科路０６７巷０００８號#汐止區橫科路６７巷８號,公寓(5樓含以下無電梯),,87.56%,F,,,114/01/22,無,,一層/五層,,42,144,1,1,0,25.05121419505922,121.6189532500322,無,,總價/總面積,其他增建;,"612,982",N,bt_01.png,住家用,1,15,,23.17,BL2AL+oHkZ3V9TiemyxOahvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"14,200,000",1,Biz,2,2房2廳1衛
住,,汐止區樟樹二路１０６巷０００７號５樓#汐止區樟樹二路１０６巷７號５樓,住宅大樓(11層含以上有電梯),儷都花園,65.47%,F,+g1eFNUpJ7biTVDwGJvUNxvQss5zmvokDklTVTp7Ke8=,,114/01/13,有,,五層/十六層,,30,145,1,1,0,25.064639576230743,121.6400631913116,有,,總價/總面積,陽台外推;,"421,203",N,bt_05.png,住家用,1,51,,19.42,+g1eFNUpJ7biTVDwGJvUNxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"8,180,000",1,Biz,2,2房2廳1衛
住,,汐止區湖前街００１７號９樓之２#汐止區湖前街１７號９樓之２,住宅大樓(11層含以上有電梯),鶴之湖,78.99%,F,yuFO6+kAyyVB853CHUlWVBvQss5zmvokDklTVTp7Ke8=,,114/01/19,有,,九層/十五層,,30,146,1,1,0,25.069033613181894,121.63223570018064,有,,總價/總面積,,"457,451",N,bt_05.png,住家用,1,60,,15.15,yuFO6+kAyyVB853CHUlWVBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"6,930,000",1,Biz,2,1房1廳1衛
住,,汐止區大同路三段０３９６號２樓之１#汐止區大同路三段３９６號２樓之１,住宅大樓(11層含以上有電梯),龍璽,74.48%,F,XIIXf40ObSl5F6xtPS2AuhvQss5zmvokDklTVTp7Ke8=,,114/01/16,有,,二層/十二層,,30,147,1,1,0,25.071377726430356,121.68189789073796,有,,總價/總面積,其他增建;,"287,944",N,bt_05.png,住家用,1,42,,36.92,XIIXf40ObSl5F6xtPS2AuhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"10,630,000",1,Biz,2,3房2廳2衛
住,,汐止區福安街０５７巷０００５號２樓#汐止區福安街５７巷５號２樓,公寓(5樓含以下無電梯),,92.09%,F,,,114/01/23,無,,二層/四層,,44,148,1,1,0,25.0640380227004,121.66397676882387,無,,總價/總面積,,"379,035",N,bt_01.png,住家用,1,11,,26.91,oKiIbaexGjI3FC3SdeiaWxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"10,200,000",1,Biz,2,3房2廳1衛
住,,汐止區新台五路二段２３８巷００４１號六樓#汐止區新台五路二段２３８巷４１號六樓,住宅大樓(11層含以上有電梯),星野之森-D區,59.12%,F,97tY2WnzN4Rid/w89J19IxvQss5zmvokDklTVTp7Ke8=,,114/01/21,有,,六層/十一層,,1,149,2,1,0,25.064360241124405,121.67262142966294,有,,總價/總面積,建物價額350萬元正，土地價額860萬元整。,"460,512",N,bt_05.png,住家用,1,79,,26.28,97tY2WnzN4Rid/w89J19IxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,100,000",1,Biz,2,2房1廳1衛
,丙種建築用地,汐止區水源路二段１２５巷０２２弄００２６號五樓#汐止區水源路二段１２５巷２２弄２６號五樓,華廈(10層含以下有電梯),美麗山林,42.42%,F,eFDcOI9clMnXL14YhA0CdxvQss5zmvokDklTVTp7Ke8=,220,114/01/11,有,55.83%,五層/六層,,2,150,4,1,1,25.053295425486034,121.6597861085713,有,,(總價-車位總價)/(總面積-車位總面積),,"475,012",N,bt_06.png,住家用,1,258,,35.46,eFDcOI9clMnXL14YhA0CdxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"15,000,000",1,Biz,2,2房2廳1衛
,丙種建築用地,汐止區連峰街００３巷０００５號４樓#汐止區連峰街３巷５號４樓,公寓(5樓含以下無電梯),,90.23%,F,,,114/01/07,無,,四層/四層,,43,151,2,1,0,25.076502640071745,121.64623102588412,無,,總價/總面積,頂樓加蓋;,"272,919",N,bt_01.png,住家用,1,12,,28.95,e0xTz0annMrMT5ic1c8DABvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,900,000",1,Biz,2,3房2廳2衛
,丙種建築用地,汐止區湖前街１１０巷０９７弄０００３之４號２３樓#汐止區湖前街１１０巷９７弄３之４號２３樓,住宅大樓(11層含以上有電梯),水蓮山莊,59.93%,F,hH9olkjKxPAOfGncAAKlsBvQss5zmvokDklTVTp7Ke8=,,114/01/06,有,71.98%,二十三層/二十五層,,25,152,8,1,1,25.076869558224182,121.63230567274802,有,,總價/總面積,,"287,617",N,bt_05.png,住家用,1,295,,44.50,hH9olkjKxPAOfGncAAKlsBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"12,800,000",1,Biz,2,3房2廳2衛
住,,汐止區工建路００９６號十三樓#汐止區工建路９６號十三樓,住宅大樓(11層含以上有電梯),映相巴黎,47.12%,F,PZrTAhYMas9du9k7uz1gNhvQss5zmvokDklTVTp7Ke8=,220,114/01/19,有,55.81%,十三層/十四層,,15,153,1,1,1,25.063592571313357,121.64000819324332,有,,(總價-車位總價)/(總面積-車位總面積),陽台外推;,"578,506",N,bt_05.png,住家用,1,84,,47.09,PZrTAhYMas9du9k7uz1gNhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"25,200,000",1,Biz,2,3房2廳2衛
商,,汐止區中正路０２１７號３樓#汐止區中正路２１７號３樓,華廈(10層含以下有電梯),,54.56%,F,,,114/01/09,有,69.23%,三層/六層,,30,154,2,1,1,25.068603542067937,121.65848041808492,有,,總價/總面積,,"322,787",N,bt_06.png,住家用,1,33,,41.20,9DIRGz6aoGDqvqU5dv+HvxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"13,300,000",1,Biz,2,2房2廳2衛
住,,汐止區鄉長路一段０５５巷０００９號七樓之１#汐止區鄉長路一段５５巷９號七樓之１,華廈(10層含以下有電梯),站前畫隄,52.61%,F,caMtWZk0MYtWo2zRfr/8YhvQss5zmvokDklTVTp7Ke8=,,114/01/01,有,67.01%,七層/十層,,16,155,1,1,1,25.07581365997577,121.665269414855,有,,總價/總面積,其他增建;,"317,461",N,bt_06.png,住家用,1,41,,50.08,caMtWZk0MYtWo2zRfr/8YhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"15,900,000",1,Biz,2,3房2廳2衛
住,,汐止區長興街二段００６２號三樓之３#汐止區長興街二段６２號三樓之３,住宅大樓(11層含以上有電梯),合謙富境,47.07%,F,iwt4V/2rqNzZ3O+LoVGCOBvQss5zmvokDklTVTp7Ke8=,,114/01/08,有,58.92%,三層/十一層,,8,156,1,1,1,25.081855754742197,121.67472934706082,有,,總價/總面積,,"336,221",N,bt_05.png,住家用,1,34,,49.61,iwt4V/2rqNzZ3O+LoVGCOBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"16,680,000",1,Biz,2,3房2廳2衛
住,,汐止區長江街０３９巷００１６號４樓#汐止區長江街３９巷１６號４樓,公寓(5樓含以下無電梯),,86.57%,F,,,114/01/22,無,,四層/五層,,43,157,1,1,0,25.07194766495734,121.65558410199323,無,,總價/總面積,陽台外推;其他增建;,"185,957",N,bt_01.png,住家用,1,25,,31.35,O3BTDx27zdFULzF5X/RNaRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"5,830,000",1,Biz,2,5房2廳1衛
其他,,汐止區南興路００７６號五樓#汐止區南興路７６號五樓,住宅大樓(11層含以上有電梯),早安清境,42.21%,F,fEsrfR6Gl45aB0mtP77LHxvQss5zmvokDklTVTp7Ke8=,230,114/01/09,有,56.29%,五層/十一層,,12,158,3,1,1,25.059441944682682,121.65194950192273,有,,(總價-車位總價)/(總面積-車位總面積),,"582,169",N,bt_05.png,住家用,1,82,,35.18,fEsrfR6Gl45aB0mtP77LHxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"17,660,000",1,Biz,2,2房1廳1衛
商,,汐止區樟樹一路１３７巷０００３號４樓#汐止區樟樹一路１３７巷３號４樓,公寓(5樓含以下無電梯),,91.57%,F,,,114/01/13,無,,四層/五層,,38,159,1,1,0,25.065896616115065,121.64165560619399,無,,總價/總面積,陽台外推;,"254,142",N,bt_01.png,住家用,1,89,,25.58,6Ff9aVC1bNVOJ4Tols98TBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"6,500,000",1,Biz,2,3房1廳1衛
住,,汐止區新興路００８１之３號九樓#汐止區新興路８１之３號九樓,住宅大樓(11層含以上有電梯),,58.65%,F,,,114/01/17,有,,九層/二十一層,,1,160,1,1,0,25.062177528526654,121.65805952055965,有,,總價/總面積,,"748,896",N,bt_05.png,住家用,1,74,,20.86,fnPIwt5DqWBmKcQpxJMwGRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,620,000",1,Biz,2,1房1廳1衛
住,,汐止區大同路二段０２６３號１４樓之３#汐止區大同路二段２６３號１４樓之３,住宅大樓(11層含以上有電梯),甲山林天廈,84.05%,F,IXhXX6ZOMYgX/aZin7I0mxvQss5zmvokDklTVTp7Ke8=,,114/01/07,有,,十四層/二十四層,,30,161,1,1,0,25.06680433064227,121.65294991351067,有,,總價/總面積,其他增建;,"496,007",N,bt_05.png,住家用,1,116,,42.94,IXhXX6ZOMYgX/aZin7I0mxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"21,300,000",1,Biz,2,4房2廳2衛
住,,汐止區樟樹一路１２３巷０００３號４樓#汐止區樟樹一路１２３巷３號４樓,公寓(5樓含以下無電梯),新北市汐止區台北春田,77.47%,F,bChl4n3vtExNcFQFH6qVMxvQss5zmvokDklTVTp7Ke8=,,114/01/20,無,,"四層,五層/五層",,35,162,1,1,0,25.06456037597945,121.64167838056804,無,,總價/總面積,陽台外推;頂樓加蓋;,"256,582",N,bt_01.png,住家用,1,64,,45.99,bChl4n3vtExNcFQFH6qVMxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"11,800,000",1,Biz,2,4房3廳4衛
住,,汐止區樟樹一路００２巷００２９號７樓#汐止區樟樹一路２巷２９號７樓,住宅大樓(11層含以上有電梯),英郡B區,69.83%,F,8mDoq1ct5xr1jU5WpC8YfhvQss5zmvokDklTVTp7Ke8=,,114/01/27,有,,七層/十二層,,27,163,1,1,0,25.06235645721275,121.6419345107306,有,,總價/總面積,陽台外推;夾層;,"545,283",N,bt_05.png,住家用,1,63,,22.01,8mDoq1ct5xr1jU5WpC8YfhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,000,000",1,Biz,2,2房2廳2衛
住,,汐止區康寧街０５９７號五樓#汐止區康寧街５９７號五樓,華廈(10層含以下有電梯),,54.44%,F,,,114/01/21,有,,五層/七層,,1,164,1,1,0,25.07048323162003,121.63525643477537,無,,總價/總面積,,"600,830",N,bt_06.png,住家用,1,18,,24.47,GYfDfBMXFKAhl9v7pT6QLhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"14,700,000",1,Biz,2,2房2廳1衛
住,,汐止區忠孝東路０４１９號十六樓#汐止區忠孝東路４１９號十六樓,住宅大樓(11層含以上有電梯),忠孝大院,43.43%,F,qzm3Xsy6WX/Y4dopMwS5ExvQss5zmvokDklTVTp7Ke8=,200,114/01/22,有,57.12%,十六層/二十二層,,6,165,1,1,1,25.07148850812507,121.66544429057015,有,,(總價-車位總價)/(總面積-車位總面積),親友、員工、共有人或其他特殊關係間之交易;,"261,395",N,bt_05.png,住家用,1,68,,45.28,qzm3Xsy6WX/Y4dopMwS5ExvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"11,000,000",1,Biz,2,2房2廳1衛
住,,汐止區大同路二段０２８１號４樓之５#汐止區大同路二段２８１號４樓之５,住宅大樓(11層含以上有電梯),宏國大鎮,76.69%,F,99KjXkTdJ1j0mvLcGO8cUxvQss5zmvokDklTVTp7Ke8=,,114/01/16,有,,四層/二十四層,,30,166,1,1,0,25.066973979687194,121.65337702197942,有,,總價/總面積,,"583,339",N,bt_05.png,住家用,1,93,,17.14,99KjXkTdJ1j0mvLcGO8cUxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"10,000,000",1,Biz,2,1房1廳1衛
住,,汐止區樟樹二路３３９巷０００８號３樓#汐止區樟樹二路３３９巷８號３樓,華廈(10層含以下有電梯),少年家,63.24%,F,8E1+XgA7bGS+YX1w9PW5jBvQss5zmvokDklTVTp7Ke8=,,114/01/21,有,,三層/九層,,27,167,1,1,0,25.07090960975633,121.6410770813519,有,,總價/總面積,,"500,089",N,bt_06.png,住家用,1,47,,15.40,8E1+XgA7bGS+YX1w9PW5jBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,700,000",1,Biz,2,1房1廳1衛
住,,汐止區明峰街２９７巷００５弄０００６號４樓#汐止區明峰街２９７巷５弄６號４樓,華廈(10層含以下有電梯),,59.12%,F,,,114/01/15,有,,四層/七層,,31,168,1,1,1,25.067416437543645,121.62612166486488,有,,總價/總面積,,"388,598",N,bt_06.png,住家用,1,50,,44.52,pmI5xBKlHdIY3LB0rSM4ShvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"17,300,000",1,Biz,2,3房2廳2衛
住,,汐止區保長路００８８號九樓#汐止區保長路８８號九樓,住宅大樓(11層含以上有電梯),森泉灣,48.70%,F,AIpvJDhA8Y7K4TbwszkkzxvQss5zmvokDklTVTp7Ke8=,130,114/01/13,有,60.28%,九層/十五層,,15,169,2,1,1,25.078362631847334,121.67458133476275,有,,(總價-車位總價)/(總面積-車位總面積),親友、員工、共有人或其他特殊關係間之交易;,"441,127",N,bt_05.png,住家用,1,71,,46.53,AIpvJDhA8Y7K4TbwszkkzxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"17,880,000",1,Biz,2,3房2廳2衛
住,,汐止區新興路００７９號十七樓#汐止區新興路７９號十七樓,住宅大樓(11層含以上有電梯),,44.73%,F,,280,114/01/17,有,60.38%,十七層/二十一層,,1,170,1,1,1,25.062177528526654,121.65805952055965,有,,(總價-車位總價)/(總面積-車位總面積),,"784,450",N,bt_05.png,住家用,1,74,,36.00,VksPYaIi3LMORsi24x0vHhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"23,720,000",1,Biz,2,2房1廳1衛
住,,汐止區新興路００７９之３號九樓#汐止區新興路７９之３號九樓,住宅大樓(11層含以上有電梯),,58.64%,F,,,114/01/17,有,,九層/二十一層,,1,171,1,1,0,25.062177528526654,121.65805952055965,有,,總價/總面積,,"748,939",N,bt_05.png,住家用,1,74,,21.03,BGssNQL20BWa09af7K671BvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,750,000",1,Biz,2,1房1廳1衛
住,,汐止區００２８之１號４樓#汐止區汐平路一段２８之１號４樓,華廈(10層含以下有電梯),汐平華廈,78.01%,F,ucHRWl51j+KjbuP7uqyZzBvQss5zmvokDklTVTp7Ke8=,,114/01/18,有,,四層/六層,,29,172,2,1,0,25.070429327317306,121.68200167208836,無,,總價/總面積,,"178,714",N,bt_06.png,住家用,1,21,,22.38,ucHRWl51j+KjbuP7uqyZzBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,000,000",1,Biz,2,2房2廳1衛
,丙種建築用地,汐止區汐萬路一段４１８巷００１弄００１２號４樓#汐止區汐萬路一段４１８巷１弄１２號４樓,公寓(5樓含以下無電梯),,63.50%,F,,,114/01/13,無,,四層/五層,,25,173,1,1,0,25.07830909469539,121.65016596089517,有,,總價/總面積,,"252,450",N,bt_01.png,住家用,1,72,,30.50,sLH96FYXeHaOT0LuWDrTAxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"7,700,000",1,Biz,2,3房2廳2衛
住,,汐止區民族二街００２８號#汐止區民族二街２８號,透天厝,,,F,,,114/01/17,無,,全/二層,,47,174,1,1,0,25.071937562292746,121.63506569185532,無,,總價/總面積,壹樓空地、平台陽台外推;夾層;其他增建;,,N,bt_02.png,住家用,1,14,,63.77,wUcP8/ZeDbBVHR5S3ltJjBvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"37,500,000",1,Biz,2,5房3廳3衛
住,,汐止區新興路００８１之２號十八樓#汐止區新興路８１之２號十八樓,住宅大樓(11層含以上有電梯),,45.58%,F,,295,114/01/20,有,59.80%,十八層/二十一層,,1,175,1,1,1,25.062177528526654,121.65805952055965,有,,(總價-車位總價)/(總面積-車位總面積),,"794,192",N,bt_05.png,住家用,1,74,,39.25,e1U2xbRVAEA3IguShAwTfxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"26,710,000",1,Biz,2,2房2廳1衛
住,,汐止區新興路００８１之３號十八樓#汐止區新興路８１之３號十八樓,住宅大樓(11層含以上有電梯),,58.65%,F,,,114/01/20,有,,十八層/二十一層,,1,176,1,1,0,25.062177528526654,121.65805952055965,有,,總價/總面積,,"793,484",N,bt_05.png,住家用,1,74,,20.86,Lp9dy+6CyUrvRM1Fg/KXThvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"16,550,000",1,Biz,2,1房1廳1衛
住,,汐止區新興路００７９之３號八樓#汐止區新興路７９之３號八樓,住宅大樓(11層含以上有電梯),,58.64%,F,,,114/01/20,有,,八層/二十一層,,1,177,1,1,0,25.062177528526654,121.65805952055965,有,,總價/總面積,,"747,035",N,bt_05.png,住家用,1,74,,21.03,N+/+hGrkzBAYYB5EQrMlqRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"15,710,000",1,Biz,2,1房1廳1衛
住,,汐止區新興路００７９之３號十八樓#汐止區新興路７９之３號十八樓,住宅大樓(11層含以上有電梯),,58.64%,F,,,114/01/18,有,,十八層/二十一層,,1,178,1,1,0,25.062177528526654,121.65805952055965,有,,總價/總面積,,"797,441",N,bt_05.png,住家用,1,74,,21.03,+oOE9gTcdNCGlMusAFhnqRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"16,770,000",1,Biz,2,1房1廳1衛
住,,汐止區大同路二段０２３７號八樓#汐止區大同路二段２３７號八樓,住宅大樓(11層含以上有電梯),甲山林天廈,52.99%,F,s4U/KgRNkpVu+1HyIin9DRvQss5zmvokDklTVTp7Ke8=,500,114/01/23,有,60.53%,八層/二十九層,,13,179,1,1,2,25.06553861765076,121.65335949636251,有,,(總價-車位總價)/(總面積-車位總面積),其他增建;,"509,296",N,bt_05.png,住家用,1,82,,95.99,s4U/KgRNkpVu+1HyIin9DRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"47,800,000",1,Biz,2,4房2廳2衛
,丙種建築用地,汐止區伯爵街０１２巷００１８號３樓之１#汐止區伯爵街１２巷１８號３樓之１,華廈(10層含以下有電梯),,63.67%,F,,,114/01/07,有,,三層/八層,,29,180,1,1,0,25.076720003179325,121.64191025747093,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,"391,990",N,bt_06.png,住家用,1,36,,9.18,+azAHY/AiI/Mp/8nvu/ZIxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,600,000",1,Biz,2,2房1廳1衛
住,,汐止區樟樹一路００１巷００２６號１０樓#汐止區樟樹一路１巷２６號１０樓,住宅大樓(11層含以上有電梯),英郡A區,74.21%,F,cE0ZMN4qNvuZ4wr+DylO/hvQss5zmvokDklTVTp7Ke8=,,114/01/19,有,,十層/十二層,,27,181,1,1,0,25.062123533099637,121.64151701554646,有,,總價/總面積,陽台外推;夾層;其他增建;,"605,848",N,bt_05.png,住家用,1,88,,20.47,cE0ZMN4qNvuZ4wr+DylO/hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"12,400,000",1,Biz,2,1房2廳1衛
住,,汐止區樟樹二路００５３號十樓#汐止區樟樹二路５３號十樓,住宅大樓(11層含以上有電梯),超級花園,44.25%,F,xrliXvBn5dnutNLQMvsEaxvQss5zmvokDklTVTp7Ke8=,,114/01/05,有,60.83%,十層/十五層,,8,182,1,1,1,25.06273004629294,121.63904229519758,有,,總價/總面積,,"568,083",N,bt_05.png,住家用,1,91,,22.00,xrliXvBn5dnutNLQMvsEaxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"12,500,000",1,Biz,2,2房1廳1衛
其他,,汐止區中興路１１０巷０３０弄００１０號５樓#汐止區中興路１１０巷３０弄１０號５樓,公寓(5樓含以下無電梯),東台北,80.36%,F,Qq0hd1Z/WQ0e0grvmUbc7RvQss5zmvokDklTVTp7Ke8=,,114/01/23,無,,五層/五層,,35,183,5,1,1,25.064492043965362,121.63447224835132,無,,總價/總面積,頂樓加蓋;,"261,382",Y,bt_01.png,住家用,1,53,,54.90,Qq0hd1Z/WQ0e0grvmUbc7RvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"14,350,000",1,Biz,2,4房2廳2衛
住,,汐止區新台五路一段０２７２號二十四樓#汐止區新台五路一段２７２號二十四樓,住宅大樓(11層含以上有電梯),,54.26%,F,,280,114/01/18,有,60.58%,二十四層/二十九層,,10,184,2,1,1,25.064410871642046,121.65932031578481,有,,(總價-車位總價)/(總面積-車位總面積),,"662,291",N,bt_05.png,住家用,1,42,,76.71,uyPsfDib/333U+6VvUPvERvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"48,300,000",1,Biz,2,4房2廳2衛
,丙種建築用地,汐止區東勢街２０１巷１２９弄００３６號二樓#汐止區東勢街２０１巷１２９弄３６號二樓,華廈(10層含以下有電梯),天墅,56.02%,F,vmyxW2JE91K9Tjal/XL6VhvQss5zmvokDklTVTp7Ke8=,,114/01/01,有,,二層/十層,,7,185,16,1,0,25.042364705513787,121.63230699994475,有,,總價/總面積,夾層;,"594,122",N,bt_06.png,住家用,1,148,,35.68,vmyxW2JE91K9Tjal/XL6VhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"21,200,000",1,Biz,2,4房2廳2衛
,乙種建築用地,汐止區國興街０２２巷００３１號六樓#汐止區國興街２２巷３１號六樓,華廈(10層含以下有電梯),,54.74%,F,,300,114/01/12,有,60.75%,六層/七層,,,186,1,1,1,25.043579877985586,121.6224726109013,無,,(總價-車位總價)/(總面積-車位總面積),親友、員工、共有人或其他特殊關係間之交易;,"637,974",N,bt_06.png,住家用,1,22,,82.62,daAxfFKJsLrkr/CcRBaixxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"50,500,000",1,Biz,2,3房2廳2衛
住,,汐止區福德一路００４５號十樓#汐止區福德一路４５號十樓,住宅大樓(11層含以上有電梯),生活大國,62.30%,F,ip+OrCeALAymg/j+2DajxhvQss5zmvokDklTVTp7Ke8=,,114/01/12,有,,十層/十六層,,28,187,2,1,0,25.069023496218016,121.63881723425115,有,,總價/總面積,,"547,802",N,bt_05.png,住家用,1,96,,19.50,ip+OrCeALAymg/j+2DajxhvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"10,680,000",1,Biz,2,2房1廳1衛
住,,汐止區福德一路２１３巷００２５號七樓#汐止區福德一路２１３巷２５號七樓,住宅大樓(11層含以上有電梯),凱旋大地,76.72%,F,gf7VxLxrOpo/8l576JB8aRvQss5zmvokDklTVTp7Ke8=,,114/01/12,有,,七層/十二層,,31,188,1,1,0,25.064974657699675,121.63561457986135,有,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,"434,545",N,bt_05.png,住家用,1,54,,9.85,gf7VxLxrOpo/8l576JB8aRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,280,000",1,Biz,2,3房2廳2衛
住,,汐止區樟樹二路０４３０號十一樓#汐止區樟樹二路４３０號十一樓,住宅大樓(11層含以上有電梯),半島花園BC棟,46.74%,F,qXuJISNYT3TauTI2m76X8BvQss5zmvokDklTVTp7Ke8=,,114/01/04,有,57.97%,十一層/十五層,,7,189,1,1,1,25.07342093493321,121.64280499618697,有,,總價/總面積,其他增建;,"475,041",N,bt_05.png,住家用,1,61,,36.42,qXuJISNYT3TauTI2m76X8BvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"17,300,000",1,Biz,2,2房2廳1衛
,丙種建築用地,汐止區長青路２１０巷００３弄００１１號#汐止區長青路２１０巷３弄１１號,透天厝,,,F,,,114/01/19,無,,全/三層,,36,190,1,1,0,25.112097927266547,121.61478758399578,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;,,N,bt_02.png,住家用,1,16,,68.37,q+09rZz+wIf29xCwJd8ICRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"20,000,000",1,Biz,2,5房2廳5衛
