AA11,AA12,a,b,bn,bs,city,commid,cp,e,el,es,f,fi,g,id,j,k,l,lat,lon,m,mark,msg,note,p,parkmain,pimg,pu,punit,r,reid,s,sq,t,town,tp,tunit,type,unit,v
,乙種建築用地,汐止區民權街二段０８１巷００２５號五樓#汐止區民權街二段８１巷２５號五樓,華廈(10層含以下有電梯),,56.19%,F,,,114/03/24,有,,五層/六層,-1,,11,2,1,0,25.047786128367463,121.62050187063122,有,,總價/總面積,土地總價款747萬元.建物總價款913萬元.,"607,841",N,bt_06.png,住家用,1,20,,27.31,HQkax1t65icm3XxONmn23BvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"16,600,000",1,Biz,2,2房1廳1衛
,丙種建築用地,汐止區汐平路二段０６３巷００４３號４樓#汐止區汐平路二段６３巷４３號４樓,公寓(5樓含以下無電梯),萊茵山水,75.73%,F,HhOug8esskjfpBLRFVAd3hvQss5zmvokDklTVTp7Ke8=,,114/03/17,無,,四層/五層,,30,12,2,1,0,25.060259242846673,121.70045958002068,無,,總價/總面積,,"130,688",N,bt_01.png,住家用,1,74,,32.90,HhOug8esskjfpBLRFVAd3hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"4,300,000",1,Biz,2,3房2廳2衛
住,,汐止區汐平路一段００１８號十五樓之２#汐止區汐平路一段１８號十五樓之２,住宅大樓(11層含以上有電梯),富貴名邸,40.67%,F,hZ1ywBcdFcm2jW1Y1kbOuRvQss5zmvokDklTVTp7Ke8=,,114/03/14,有,61.97%,十五層/十五層,,6,13,1,1,1,25.070594370997316,121.68144750882634,有,,總價/總面積,,"309,408",N,bt_05.png,住家用,1,33,,34.91,hZ1ywBcdFcm2jW1Y1kbOuRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"10,800,000",1,Biz,2,1房1廳1衛
住,,汐止區樟樹一路００１巷００４６號９樓#汐止區樟樹一路１巷４６號９樓,住宅大樓(11層含以上有電梯),英郡A區,74.03%,F,qMz4GoSf2IP64NZmyzeEVxvQss5zmvokDklTVTp7Ke8=,,114/03/25,有,,九層/十二層,,27,14,1,1,0,25.062123533099637,121.64151701554646,有,,總價/總面積,,"492,165",N,bt_05.png,住家用,1,88,,10.26,qMz4GoSf2IP64NZmyzeEVxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"5,050,000",1,Biz,2,3房1廳1衛
,丙種建築用地,汐止區忠三街０１６巷０００７號３樓#汐止區忠三街１６巷７號３樓,公寓(5樓含以下無電梯),瓏山林,61.42%,F,taraYFFiro0pZyyBy5PRDxvQss5zmvokDklTVTp7Ke8=,,114/03/28,無,,"三層,四層,電梯樓梯間,夾層/四層",,35,15,1,1,1,25.076930596482775,121.62642777213941,有,,總價/總面積,陽台外推;頂樓加蓋;夾層;其他增建;,"216,079",Y,bt_01.png,住家用,1,178,,87.93,taraYFFiro0pZyyBy5PRDxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"19,000,000",1,Biz,2,4房3廳4衛
住,,汐止區福德一路２１３巷００３１號三樓#汐止區福德一路２１３巷３１號三樓,住宅大樓(11層含以上有電梯),凱旋大地,76.77%,F,DhSijgOR4BRbqtGkJSM67hvQss5zmvokDklTVTp7Ke8=,,114/03/02,有,,三層/十二層,,31,16,1,1,0,25.064974657699675,121.63561457986135,有,,總價/總面積,陽台外推;其他增建;,"449,084",N,bt_05.png,住家用,1,54,,29.84,DhSijgOR4BRbqtGkJSM67hvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"13,400,000",1,Biz,2,3房2廳2衛
住,,汐止區連興街０１４４號四樓#汐止區連興街１４４號四樓,公寓(5樓含以下無電梯),,93.73%,F,,,114/03/17,無,,四層/五層,,43,17,1,1,0,25.061293068914356,121.65391183975169,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;陽台外推;,"392,612",N,bt_01.png,住家用,1,35,,6.37,6JqAQzWc/oAlj2k+xm6UnxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"2,500,000",1,Biz,2,3房2廳1衛
住,,汐止區樟樹二路００５１之１號六樓#汐止區樟樹二路５１之１號六樓,住宅大樓(11層含以上有電梯),超級花園,37.01%,F,y/bZhzwkYUayELN8+XL4XRvQss5zmvokDklTVTp7Ke8=,,114/03/07,有,52.12%,六層/十五層,,9,18,1,1,1,25.06273004629294,121.63904229519758,有,,總價/總面積,其他增建;,"514,215",N,bt_05.png,住家用,1,91,,24.04,y/bZhzwkYUayELN8+XL4XRvQss5zmvokDklTVTp7Ke8=,房地(土地+建物)+車位,F28,"12,360,000",1,Biz,2,1房1廳1衛
,丙種建築用地,汐止區瑞松街１５２巷０３１弄００３６號#汐止區瑞松街１５２巷３１弄３６號,透天厝,,,F,,,114/03/27,無,,全/二層,,43,19,1,1,0,25.110804492079765,121.64718464075175,無,,總價/總面積,,,N,bt_02.png,住家用,1,9,,30.94,M5Kz1RO2sCtg7qgvQbqxQxvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"3,500,000",1,Biz,2,2廳1衛
住,,汐止區長興街二段０５０巷００１１號#汐止區長興街二段５０巷１１號,透天厝,,,F,,,114/03/14,無,,全/二層,,,20,1,1,0,25.081523388678573,121.67436074470896,無,,總價/總面積,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;,,N,bt_02.png,住家用,1,7,,7.36,ydtzO2JQAYPo8F8Y6KumihvQss5zmvokDklTVTp7Ke8=,房地(土地+建物),F28,"1,094,441",1,Biz,2,2房1廳1衛
